book,lex,sp,vs,vt,ctyp,ptyp,gloss
esth,ו,conj,,,Way0,CP,and
esth,היה,verb,qal,wayq,,VP,be
esth,ב,prep,,,,PP,in
esth,יומ,subs,,,,,day
esth,אחשׁורושׁ,nmpr,,,,,Ahasuerus
esth,הוא,prps,,,NmCl,PPrP,he
esth,אחשׁורושׁ,nmpr,,,,PrNP,Ahasuerus
esth,ה,art,,,Ptcp,CP,the
esth,מלכ,verb,qal,ptca,,VP,be king
esth,מנ,prep,,,,PP,from
esth,הדו,nmpr,,,,,India
esth,ו,conj,,,,,and
esth,עד,prep,,,,,unto
esth,כושׁ,nmpr,,,,,Cush
esth,שׁבע,subs,,,,,seven
esth,ו,conj,,,,,and
esth,עשׂרימ,subs,,,,,twenty
esth,ו,conj,,,,,and
esth,מאה,subs,,,,,hundred
esth,מדינה,subs,,,,,district
esth,ב,prep,,,xQt0,PP,in
esth,ה,art,,,,,the
esth,יומ,subs,,,,,day
esth,ה,art,,,,,the
esth,המ,prps,,,,,they
esth,כ,prep,,,InfC,VP,as
esth,ישׁב,verb,qal,infc,,,sit
esth,ה,art,,,,NP,the
esth,מלכ,subs,,,,,king
esth,אחשׁורושׁ,nmpr,,,,,Ahasuerus
esth,על,prep,,,,PP,upon
esth,כסא,subs,,,,,seat
esth,מלכות,subs,,,,,kingship
esth,אשׁר,conj,,,NmCl,CP,<relative>
esth,ב,prep,,,,PP,in
esth,שׁושׁנ,nmpr,,,,,Susa
esth,ה,art,,,,,the
esth,בירה,subs,,,,,citadel
esth,ב,prep,,,xQt0,PP,in
esth,שׁנה,subs,,,,,year
esth,שׁלשׁ,subs,,,,,three
esth,ל,prep,,,InfC,VP,to
esth,מלכ,verb,qal,infc,,,be king
esth,עשׂה,verb,qal,perf,xQt0,VP,make
esth,משׁתה,subs,,,,NP,drinking
esth,ל,prep,,,,PP,to
esth,כל,subs,,,,,whole
esth,שׂר,subs,,,,,chief
esth,ו,conj,,,,,and
esth,עבד,subs,,,,,servant
esth,חיל,subs,,,,,power
esth,פרס,nmpr,,,,,Persia
esth,ו,conj,,,,,and
esth,מדי,nmpr,,,,,Media
esth,ה,art,,,,,the
esth,פרתמימ,subs,,,,,nobles
esth,ו,conj,,,,,and
esth,שׂר,subs,,,,,chief
esth,ה,art,,,,,the
esth,מדינה,subs,,,,,district
esth,ל,prep,,,,,to
esth,פנה,subs,,,,,face
esth,ב,prep,,,InfC,VP,in
esth,ראה,verb,hif,infc,,,see
esth,את,prep,,,,PP,<object marker>
esth,עשׁר,subs,,,,,riches
esth,כבוד,subs,,,,,weight
esth,מלכות,subs,,,,,kingship
esth,ו,conj,,,,,and
esth,את,prep,,,,,<object marker>
esth,יקר,subs,,,,,preciousness
esth,תפארת,subs,,,,,splendour
esth,גדולה,subs,,,,,greatness
esth,יומ,subs,,,,NP,day
esth,רב,adjv,,,,,much
esth,שׁמנה,subs,,,,,eight
esth,ו,conj,,,,,and
esth,מאה,subs,,,,,hundred
esth,יומ,subs,,,,,day
esth,ו,conj,,,WxQX,CP,and
esth,ב,prep,,,InfC,VP,in
esth,מלא,verb,qal,infc,,,be full
esth,ה,art,,,,NP,the
esth,יומ,subs,,,,,day
esth,ה,art,,,,,the
esth,אלה,prde,,,,,these
esth,עשׂה,verb,qal,perf,WxQX,VP,make
esth,ה,art,,,,NP,the
esth,מלכ,subs,,,,,king
esth,ל,prep,,,,PP,to
esth,כל,subs,,,,,whole
esth,ה,art,,,,,the
esth,עמ,subs,,,,,people
esth,ה,art,,,Ptcp,CP,the
esth,מצא,verb,nif,ptca,,VP,find
esth,ב,prep,,,,PP,in
esth,שׁושׁנ,nmpr,,,,,Susa
esth,ה,art,,,,,the
esth,בירה,subs,,,,,citadel
esth,ל,prep,,,WxQX,PP,to
esth,מנ,prep,,,,,from
esth,גדול,adjv,,,,,great
esth,ו,conj,,,,,and
esth,עד,prep,,,,,unto
esth,קטנ,adjv,,,,,small
esth,משׁתה,subs,,,,NP,drinking
esth,שׁבע,subs,,,,NP,seven
esth,יומ,subs,,,,,day
esth,ב,prep,,,,PP,in
esth,חצר,subs,,,,,court
esth,גנה,subs,,,,,garden
esth,ביתנ,subs,,,,,palace
esth,ה,art,,,,,the
esth,מלכ,subs,,,,,king
esth,חור,subs,,,Ptcp,NP,linen
esth,כרפס,subs,,,,,linen
esth,ו,conj,,,,,and
esth,תכלת,subs,,,,,purple wool
esth,אחז,verb,qal,ptcp,,VP,seize
esth,ב,prep,,,,PP,in
esth,חבל,subs,,,,,cord
esth,בוצ,subs,,,,,byssus
esth,ו,conj,,,,,and
esth,ארגמנ,subs,,,,,purple-wool
esth,על,prep,,,,PP,upon
esth,גליל,subs,,,,,pivot
esth,כספ,subs,,,,,silver
esth,ו,conj,,,,,and
esth,עמוד,subs,,,,,pillar
esth,שׁשׁ,subs,,,,,alabaster
esth,מטה,subs,,,NmCl,NP,couch
esth,זהב,subs,,,,,gold
esth,ו,conj,,,,,and
esth,כספ,subs,,,,,silver
esth,על,prep,,,,PP,upon
esth,רצפה,subs,,,,,pavement
esth,בהט,subs,,,,,<uncertain>
esth,ו,conj,,,,,and
esth,שׁשׁ,subs,,,,,alabaster
esth,ו,conj,,,,,and
esth,דר,subs,,,,,pavement
esth,ו,conj,,,,,and
esth,סחרת,subs,,,,,pavement
esth,ו,conj,,,InfC,CP,and
esth,שׁקה,verb,hif,infc,,VP,give drink
esth,ב,prep,,,,PP,in
esth,כלי,subs,,,,,tool
esth,זהב,subs,,,,,gold
esth,ו,conj,,,Ptcp,CP,and
esth,כלי,subs,,,,NP,tool
esth,מנ,prep,,,,PP,from
esth,כלי,subs,,,,,tool
esth,שׁנה,verb,qal,ptca,,VP,change
esth,ו,conj,,,AjCl,CP,and
esth,יינ,subs,,,,NP,wine
esth,מלכות,subs,,,,,kingship
esth,רב,adjv,,,,AdjP,much
esth,כ,prep,,,,PP,as
esth,יד,subs,,,,,hand
esth,ה,art,,,,,the
esth,מלכ,subs,,,,,king
esth,ו,conj,,,NmCl,CP,and
esth,ה,art,,,,NP,the
esth,שׁתיה,subs,,,,,drinking
esth,כ,prep,,,,PP,as
esth,ה,art,,,,,the
esth,דת,subs,,,,,orders
esth,אינ,subs,,,NmCl,NegP,<NEG>
esth,אנס,verb,qal,ptca,,NP,compel
esth,כי,conj,,,xQtX,CP,that
esth,כנ,advb,,,,AdvP,thus
esth,יסד,verb,piel,perf,,VP,found
esth,ה,art,,,,NP,the
esth,מלכ,subs,,,,,king
esth,על,prep,,,,PP,upon
esth,כל,subs,,,,,whole
esth,רב,subs,,,,,chief
esth,בית,subs,,,,,house
esth,ל,prep,,,InfC,VP,to
esth,עשׂה,verb,qal,infc,,,make
esth,כ,prep,,,,PP,as
esth,רצונ,subs,,,,,pleasure
esth,אישׁ,subs,,,,,man
esth,ו,conj,,,,,and
esth,אישׁ,subs,,,,,man
esth,גמ,advb,,,XQtl,PrNP,even
esth,ושׁתי,nmpr,,,,,Vashti
esth,ה,art,,,,,the
esth,מלכה,subs,,,,,queen
esth,עשׂה,verb,qal,perf,,VP,make
esth,משׁתה,subs,,,,NP,drinking
esth,אשׁה,subs,,,,,woman
esth,בית,subs,,,,NP,house
esth,ה,art,,,,,the
esth,מלכות,subs,,,,,kingship
esth,אשׁר,conj,,,NmCl,CP,<relative>
esth,ל,prep,,,,PP,to
esth,ה,art,,,,,the
esth,מלכ,subs,,,,,king
esth,אחשׁורושׁ,nmpr,,,,,Ahasuerus
esth,ב,prep,,,xQt0,PP,in
esth,ה,art,,,,,the
esth,יומ,subs,,,,,day
esth,ה,art,,,,,the
esth,שׁביעי,adjv,,,,,seventh
esth,כ,prep,,,InfC,VP,as
esth,טוב,verb,qal,infc,,,be good
esth,לב,subs,,,,NP,heart
esth,ה,art,,,,,the
esth,מלכ,subs,,,,,king
esth,ב,prep,,,,PP,in
esth,ה,art,,,,,the
esth,יינ,subs,,,,,wine
esth,אמר,verb,qal,perf,xQt0,VP,say
esth,ל,prep,,,,PP,to
esth,מהומנ,nmpr,,,,,Mehuman
esth,בזתא,nmpr,,,,,Biztha
esth,חרבונא,nmpr,,,,,Harbona
esth,בגתא,nmpr,,,,,Bigtha
esth,ו,conj,,,,,and
esth,אבגתא,nmpr,,,,,Abagtha
esth,זתר,nmpr,,,,,Zethar
esth,ו,conj,,,,,and
esth,כרכס,nmpr,,,,,Carcas
esth,שׁבע,subs,,,,,seven
esth,ה,art,,,,,the
esth,סריס,subs,,,,,official
esth,ה,art,,,Ptcp,CP,the
esth,שׁרת,verb,piel,ptca,,VP,serve
esth,את,prep,,,,PP,together with
esth,פנה,subs,,,,,face
esth,ה,art,,,,,the
esth,מלכ,subs,,,,,king
esth,אחשׁורושׁ,nmpr,,,,,Ahasuerus
esth,ל,prep,,,InfC,VP,to
esth,בוא,verb,hif,infc,,,come
esth,את,prep,,,,PP,<object marker>
